#,Program:featureCounts
Geneid,SRR17446276.bam
AT1G30360,15514
AT1G75280,5769
AT1G18200,111
AT1G55680,1798
AT1G34000,1570
AT1G04410,18376
AT1G45243,0
AT1G21650,311
AT1G28520,801
AT1G14048,0
AT1G05220,15
AT1G63245,5
AT1G66180,3917
AT1G07790,455
AT1G07720,633
AT1G16420,8
AT1G72740,875
AT1G05060,389
AT1G55960,431
AT1G32060,34145
AT1G77700,49
AT1G75510,645
AT1G54090,646
AT1G26520,153
AT1G15240,1254
AT1G07980,302
AT1G01740,144
AT1G62914,78
AT1G53090,411
AT1G08540,2255
AT1G12460,258
AT1G06250,46
AT1G52827,95
AT1G47690,0
AT1G49590,510
AT1G06280,0
AT1G78420,740
AT1G08465,144
AT1G32970,20
AT1G28815,1
AT1G01260,1063
AT1G26815,0
AT1G16730,43
AT1G08700,663
AT1G66590,25
AT1G09550,1
AT1G16370,64
AT1G80730,15
AT1G11420,108
AT1G61210,927
AT1G57980,64
AT1G15140,1725
AT1G04810,1482
AT1G67070,44
AT1G53270,74
AT1G04550,266
AT1G44940,0
AT1G47810,0
AT1G27450,3133
AT1G33055,187
AT1G69400,79
AT1G51920,2
AT1G56000,253
AT1G42540,578
AT1G08100,2
AT1G29465,145
AT1G75960,141
AT1G63420,374
AT1G29470,5000
AT1G48310,318
AT1G32930,202
AT1G63880,1161
AT1G04630,454
AT1G27150,1051
AT1G79110,539
AT1G68490,2261
AT1G06040,3907
AT1G18970,88
AT1G72430,390
AT1G03040,976
AT1G28250,457
AT1G66630,0
AT1G10530,16
AT1G24090,26
AT1G09640,5439
AT1G14080,127
AT1G78760,3
AT1G44542,2
AT1G49350,188
AT1G47240,337
AT1G28430,5
AT1G12190,0
AT1G66610,0
AT1G16022,1
AT1G13370,9
AT1G21370,561
AT1G21590,2180
AT1G50390,21
AT1G60870,1087
AT1G69870,1989
AT1G18610,232
AT1G13890,0
AT1G24260,825
AT1G64140,2006
AT1G02290,270
AT1G26740,229
AT1G20460,265
AT1G11500,6
AT1G75040,106
AT1G07985,172
AT1G74035,0
AT1G15510,101
AT1G07040,1127
AT1G71170,301
AT1G63470,388
AT1G13640,1101
AT1G35516,1191
AT1G22210,1
AT1G33230,1380
AT1G18050,0
AT1G79340,2730
AT1G57680,2352
AT1G29140,23
AT1G55110,277
AT1G67775,0
AT1G57730,0
AT1G64550,2030
AT1G68710,584
AT1G79270,1580
AT1G67310,1630
AT1G65610,224
AT1G53880,1
AT1G64380,275
AT1G27920,6
AT1G07220,259
AT1G14130,149
AT1G55040,107
AT1G35630,0
AT1G53860,20
AT1G71010,2178
AT1G56240,11
AT1G20630,2152
AT1G54217,78
AT1G44920,1499
AT1G63970,1670
AT1G26945,808
AT1G67870,4192
AT1G62850,347
AT1G50520,107
AT1G31500,541
AT1G15820,60855
AT1G72690,56
AT1G29030,166
AT1G75160,20
AT1G26090,340
AT1G59660,139
AT1G52460,0
AT1G10720,588
AT1G67670,0
AT1G11410,259
AT1G19025,67
AT1G80050,139
AT1G50320,3415
AT1G77330,1085
AT1G50090,8
AT1G16650,205
AT1G50830,182
AT1G02410,341
AT1G04420,2344
AT1G05190,9501
AT1G60660,272
AT1G13950,258
AT1G23147,0
AT1G17460,425
AT1G02110,1043
AT1G32990,5225
AT1G22380,229
AT1G61300,396
AT1G15840,12
AT1G15440,392
AT1G49650,553
AT1G18850,175
AT1G34150,333
AT1G13320,1379
AT1G13820,890
AT1G15880,1069
AT1G80810,329
AT1G54957,0
AT1G65310,380
AT1G20010,14349
AT1G52570,37
AT1G33520,768
AT1G54350,1718
AT1G58160,17
AT1G30190,31
AT1G14550,10
AT1G62450,0
AT1G16830,44
AT1G44090,0
AT1G10880,0
AT1G64633,0
AT1G03830,238
AT1G52530,7
AT1G63580,4
AT1G01600,81
AT1G10210,412
AT1G62720,9
AT1G36980,1315
AT1G16705,25
AT1G74180,188
AT1G69480,151
AT1G71520,5
AT1G34792,0
AT1G35190,669
AT1G07850,0
AT1G09620,3191
AT1G02570,25
AT1G26790,0
AT1G03620,70
AT1G01350,449
AT1G65770,0
AT1G21395,0
AT1G13810,83
AT1G14520,473
AT1G55630,160
AT1G18390,538
AT1G26797,0
AT1G25480,300
AT1G28190,226
AT1G49530,48
AT1G18486,0
AT1G12880,175
AT1G08090,256
AT1G66460,27
AT1G24220,1
AT1G08035,3
AT1G04985,1096
AT1G73780,22
AT1G36940,70
AT1G23850,106
AT1G66190,106
AT1G44318,0
AT1G24270,9
AT1G05350,679
AT1G19930,0
AT1G62520,255
AT1G23170,158
AT1G71150,1
AT1G11430,2741
AT1G17145,707
AT1G34815,0
AT1G73910,21
AT1G52050,76
AT1G34320,1247
AT1G48280,199
AT1G12170,0
AT1G49225,0
AT1G01715,67
AT1G29160,59
AT1G22660,267
AT1G79410,236
AT1G75990,1084
AT1G76770,4
AT1G78800,547
AT1G57560,55
AT1G48040,113
AT1G63400,45
AT1G32320,1
AT1G71830,252
AT1G75800,4146
AT1G22260,27
AT1G75950,3888
AT1G43730,0
