#,Program:featureCounts
Geneid,SRR17446275.bam
AT1G30814,0
AT1G78930,70
AT1G71695,3185
AT1G58983,11
AT1G12980,0
AT1G45223,0
AT1G56250,4
AT1G66852,0
AT1G69810,329
AT1G72450,1347
AT1G76280,330
AT1G65630,0
AT1G71390,0
AT1G56233,0
AT1G15210,1663
AT1G15250,192
AT1G79700,392
AT1G62895,0
AT1G73360,43
AT1G16360,12
AT1G10225,1
AT1G26670,2244
AT1G34855,0
AT1G52200,371
AT1G57800,7
AT1G69460,1442
AT1G04310,209
AT1G08080,0
AT1G75550,25
AT1G71890,18
AT1G05430,696
AT1G80870,371
AT1G75310,1248
AT1G02010,305
AT1G47900,733
AT1G14315,0
AT1G26760,72
AT1G05250,4
AT1G67260,0
AT1G24575,78
AT1G12790,199
AT1G04850,2500
AT1G31760,38
AT1G33250,842
AT1G74000,26
AT1G55580,26
AT1G53903,0
AT1G19715,1344
AT1G69430,36
AT1G53340,70
AT1G29890,1003
AT1G80290,226
AT1G56540,126
AT1G48650,1069
AT1G22670,1
AT1G07030,457
AT1G69860,0
AT1G10120,514
AT1G43650,180
AT1G09960,186
AT1G51990,0
AT1G53625,4
AT1G63360,489
AT1G33330,418
AT1G74929,0
AT1G63430,1240
AT1G80720,94
AT1G69770,610
AT1G08460,674
AT1G78710,1
AT1G08610,131
AT1G17540,742
AT1G27380,54
AT1G58643,0
AT1G48953,2
AT1G51440,126
AT1G18871,0
AT1G25210,0
AT1G21610,1160
AT1G79710,211
AT1G80840,235
AT1G71300,0
AT1G49490,176
AT1G23645,0
AT1G09795,1908
AT1G48690,121
AT1G49570,78
AT1G68470,116
AT1G75580,17
AT1G26400,1
AT1G72980,1
AT1G59970,236
AT1G11520,0
AT1G30640,472
AT1G26440,663
AT1G51320,0
AT1G22070,1072
AT1G26700,1
AT1G73603,0
AT1G55650,0
AT1G78180,289
AT1G55928,0
AT1G29880,2508
AT1G53645,524
AT1G06240,428
AT1G72330,350
AT1G20840,2734
AT1G45050,443
AT1G52500,242
AT1G10430,597
AT1G05670,129
AT1G64110,526
AT1G65220,1528
AT1G13635,30
AT1G54950,4
AT1G55730,412
AT1G07310,1411
AT1G77230,107
AT1G52400,4802
AT1G16430,82
AT1G27752,912
AT1G14880,2
AT1G11190,77
AT1G43100,0
AT1G26650,600
AT1G54420,1
AT1G34640,66
AT1G50310,8
AT1G49430,1197
AT1G74240,113
AT1G01760,116
AT1G61160,0
AT1G47480,319
AT1G65820,2016
AT1G22900,36
AT1G76820,187
AT1G52080,212
AT1G35180,71
