#,Program:featureCounts
Geneid,SRR17446282.bam
AT1G30814,1
AT1G78930,105
AT1G71695,2331
AT1G58983,7
AT1G12980,1
AT1G45223,0
AT1G56250,65
AT1G66852,0
AT1G69810,365
AT1G72450,1236
AT1G76280,318
AT1G65630,0
AT1G71390,0
AT1G56233,0
AT1G15210,1388
AT1G15250,333
AT1G79700,757
AT1G62895,0
AT1G73360,59
AT1G16360,16
AT1G10225,2
AT1G26670,1951
AT1G34855,0
AT1G52200,623
AT1G57800,2
AT1G69460,1327
AT1G04310,370
AT1G08080,1
AT1G75550,44
AT1G71890,6
AT1G05430,750
AT1G80870,622
AT1G75310,1231
AT1G02010,189
AT1G47900,612
AT1G14315,0
AT1G26760,77
AT1G05250,1
AT1G67260,7
AT1G24575,87
AT1G12790,129
AT1G04850,2426
AT1G31760,37
AT1G33250,1040
AT1G74000,41
AT1G55580,29
AT1G53903,0
AT1G19715,1613
AT1G69430,25
AT1G53340,55
AT1G29890,703
AT1G80290,238
AT1G56540,136
AT1G48650,956
AT1G22670,0
AT1G07030,442
AT1G69860,1
AT1G10120,905
AT1G43650,117
AT1G09960,167
AT1G51990,0
AT1G53625,11
AT1G63360,395
AT1G33330,408
AT1G74929,0
AT1G63430,688
AT1G80720,170
AT1G69770,622
AT1G08460,902
AT1G78710,0
AT1G08610,151
AT1G17540,5
AT1G27380,31
AT1G58643,0
AT1G48953,0
AT1G51440,37
AT1G18871,0
AT1G25210,0
AT1G21610,1116
AT1G79710,255
AT1G80840,708
AT1G71300,2
AT1G49490,189
AT1G23645,0
AT1G09795,1902
AT1G48690,82
AT1G49570,91
AT1G68470,74
AT1G75580,44
AT1G26400,0
AT1G72980,0
AT1G59970,173
AT1G11520,0
AT1G30640,428
AT1G26440,790
AT1G51320,0
AT1G22070,1089
AT1G26700,23
AT1G73603,0
AT1G55650,0
AT1G78180,290
AT1G55928,0
AT1G29880,2483
AT1G53645,640
AT1G06240,254
AT1G72330,475
AT1G20840,1969
AT1G45050,427
AT1G52500,285
AT1G10430,535
AT1G05670,154
AT1G64110,287
AT1G65220,1757
AT1G13635,46
AT1G54950,10
AT1G55730,386
AT1G07310,1413
AT1G77230,93
AT1G52400,1612
AT1G16430,69
AT1G27752,898
AT1G14880,9
AT1G11190,33
AT1G43100,0
AT1G26650,429
AT1G54420,0
AT1G34640,90
AT1G50310,8
AT1G49430,689
AT1G74240,137
AT1G01760,94
AT1G61160,0
AT1G47480,242
AT1G65820,1981
AT1G22900,36
AT1G76820,141
AT1G52080,211
AT1G35180,69
AT1G30070,490
AT1G35210,67
AT1G10410,1254
AT1G73740,430
AT1G53350,232
AT1G34110,538
AT1G17240,13
AT1G61730,806
AT1G29260,607
AT1G33890,0
AT1G08040,559
AT1G63522,2
AT1G08810,209
AT1G09210,4601
AT1G70080,3
AT1G10522,870
AT1G04570,17
AT1G01830,376
AT1G12340,0
AT1G67590,519
AT1G69080,71
AT1G31400,1
AT1G74385,0
AT1G73300,19
AT1G05760,0
AT1G30530,392
AT1G12480,50
AT1G76850,1827
AT1G73570,175
AT1G44130,18
AT1G67340,642
AT1G80315,0
AT1G43666,0
AT1G08630,29
AT1G66150,3404
AT1G04640,472
AT1G56500,2390
AT1G12615,0
AT1G77120,2722
AT1G50590,56
AT1G17147,126
AT1G44740,36
AT1G08005,0
AT1G24380,0
AT1G60787,15
AT1G26796,0
AT1G68500,36
AT1G15500,4820
AT1G77760,12490
AT1G24062,0
AT1G53510,1759
AT1G51410,2
AT1G50020,809
AT1G22370,380
AT1G53265,0
AT1G17270,175
AT1G74350,62
AT1G75230,281
AT1G29150,2260
AT1G17140,1081
AT1G08380,50776
AT1G43560,1413
AT1G07700,753
AT1G33750,244
AT1G61270,5
AT1G14750,51
AT1G05900,270
AT1G44120,1
AT1G52990,2
AT1G37130,28298
AT1G48175,277
AT1G72140,230
AT1G66465,8
AT1G43260,0
AT1G14420,4
AT1G01710,938
AT1G44000,934
AT1G73960,898
AT1G11360,766
AT1G04490,31
AT1G78476,5
AT1G15310,198
AT1G13300,719
AT1G55530,987
AT1G47350,0
AT1G74458,65
AT1G32120,138
AT1G17260,44
AT1G32660,0
AT1G31480,395
AT1G17500,962
AT1G50780,1
AT1G21150,98
AT1G78110,508
AT1G80080,244
AT1G23260,1062
AT1G09790,0
AT1G60270,86
AT1G25400,230
AT1G77980,0
AT1G43140,20
AT1G42470,1259
AT1G34170,0
AT1G56150,127
AT1G75520,45
AT1G53890,0
AT1G43722,0
AT1G73370,107
AT1G01230,714
AT1G70700,663
AT1G02380,426
AT1G48870,45
AT1G69280,90
AT1G36950,0
AT1G12430,625
AT1G56320,160
AT1G50880,0
AT1G36310,469
AT1G44830,136
AT1G01300,1968
AT1G48050,426
AT1G36925,0
AT1G30670,0
AT1G22180,273
AT1G17450,446
AT1G61630,0
AT1G28590,3
AT1G79670,738
AT1G68170,0
AT1G60080,193
AT1G51240,0
AT1G07130,0
AT1G42525,0
AT1G64355,1014
AT1G04820,9632
AT1G71866,10
AT1G33050,2253
AT1G77810,290
AT1G16210,1304
AT1G34580,28
AT1G02050,240
AT1G66500,119
AT1G04030,188
AT1G32480,0
AT1G29370,299
AT1G18880,264
AT1G50740,470
AT1G02580,2
AT1G58220,176
AT1G07350,2969
AT1G06950,3675
AT1G19200,14
AT1G52140,225
AT1G18550,189
AT1G77510,1635
AT1G52430,5
AT1G15950,282
AT1G67850,190
AT1G69620,5196
AT1G49110,0
AT1G57860,605
AT1G63160,149
AT1G71050,99
AT1G28510,655
AT1G48240,614
AT1G71140,58
AT1G66960,16
AT1G36370,858
AT1G58242,0
AT1G63370,6
AT1G56110,2894
AT1G14510,1106
AT1G19010,138
AT1G54250,327
AT1G55170,121
AT1G70230,513
AT1G52830,130
AT1G45015,85
AT1G23160,8
AT1G67510,254
AT1G08230,155
AT1G67780,47
AT1G76830,1
AT1G04280,871
AT1G55020,598
AT1G48970,515
AT1G79420,105
AT1G70350,125
AT1G35375,0
AT1G28306,0
AT1G12450,346
AT1G57660,1565
AT1G19086,0
AT1G05870,506
AT1G07540,0
AT1G78820,1396
AT1G03790,15
AT1G02220,201
AT1G74420,9
AT1G68700,3
AT1G64820,0
AT1G56680,70
AT1G58848,5
AT1G23985,0
AT1G22140,251
AT1G75210,820
AT1G30330,1416
AT1G77200,98
AT1G30360,8355
AT1G75280,1514
AT1G18200,48
AT1G55680,1708
AT1G34000,1722
AT1G04410,16943
AT1G45243,0
AT1G21650,305
AT1G28520,951
AT1G14048,0
AT1G05220,17
AT1G63245,21
AT1G66180,5213
AT1G07790,470
AT1G07720,443
AT1G16420,3
AT1G72740,618
AT1G05060,392
AT1G55960,677
AT1G32060,27068
AT1G77700,58
AT1G75510,627
AT1G54090,704
AT1G26520,175
AT1G15240,1127
AT1G07980,315
AT1G01740,146
AT1G62914,80
AT1G53090,195
AT1G08540,2445
AT1G12460,420
AT1G06250,57
AT1G52827,82
AT1G47690,0
AT1G49590,486
AT1G06280,0
AT1G78420,913
AT1G08465,298
AT1G32970,5
AT1G28815,0
AT1G01260,831
AT1G26815,0
AT1G16730,40
AT1G08700,839
