#,Program:featureCounts
Geneid,SRR17446255.bam
AT1G30814,0
AT1G78930,98
AT1G71695,4593
AT1G58983,7
AT1G12980,0
AT1G45223,0
AT1G56250,41
AT1G66852,0
AT1G69810,348
AT1G72450,1559
AT1G76280,275
AT1G65630,0
AT1G71390,0
AT1G56233,0
AT1G15210,1436
AT1G15250,267
AT1G79700,978
AT1G62895,0
AT1G73360,46
AT1G16360,16
AT1G10225,1
AT1G26670,1775
AT1G34855,0
AT1G52200,632
AT1G57800,1
AT1G69460,1306
AT1G04310,254
AT1G08080,0
AT1G75550,44
AT1G71890,23
AT1G05430,754
AT1G80870,410
AT1G75310,1079
AT1G02010,208
AT1G47900,705
AT1G14315,0
AT1G26760,78
AT1G05250,0
AT1G67260,18
AT1G24575,170
AT1G12790,157
AT1G04850,2106
AT1G31760,56
AT1G33250,797
AT1G74000,74
AT1G55580,28
AT1G53903,0
AT1G19715,1168
AT1G69430,26
AT1G53340,64
AT1G29890,916
AT1G80290,228
AT1G56540,68
AT1G48650,1059
AT1G22670,0
AT1G07030,373
AT1G69860,0
AT1G10120,431
AT1G43650,137
AT1G09960,147
AT1G51990,0
AT1G53625,19
AT1G63360,482
AT1G33330,323
AT1G74929,0
AT1G63430,687
AT1G80720,98
AT1G69770,572
AT1G08460,617
AT1G78710,0
AT1G08610,158
AT1G17540,0
AT1G27380,36
AT1G58643,0
AT1G48953,0
AT1G51440,52
AT1G18871,0
AT1G25210,0
AT1G21610,953
AT1G79710,213
AT1G80840,549
AT1G71300,2
AT1G49490,123
AT1G23645,0
AT1G09795,1623
AT1G48690,63
AT1G49570,37
AT1G68470,125
AT1G75580,26
AT1G26400,0
AT1G72980,0
AT1G59970,274
AT1G11520,0
AT1G30640,457
AT1G26440,769
AT1G51320,0
AT1G22070,1088
AT1G26700,5
AT1G73603,0
AT1G55650,1
AT1G78180,312
AT1G55928,0
AT1G29880,2728
AT1G53645,589
AT1G06240,228
AT1G72330,387
AT1G20840,2554
AT1G45050,354
AT1G52500,241
AT1G10430,493
AT1G05670,115
AT1G64110,81
AT1G65220,1776
AT1G13635,51
AT1G54950,17
AT1G55730,414
AT1G07310,1503
AT1G77230,99
AT1G52400,4913
AT1G16430,61
AT1G27752,789
AT1G14880,5
AT1G11190,150
AT1G43100,0
AT1G26650,425
AT1G54420,0
AT1G34640,75
AT1G50310,4
AT1G49430,1102
AT1G74240,101
AT1G01760,84
AT1G61160,0
AT1G47480,361
AT1G65820,2027
AT1G22900,43
AT1G76820,90
AT1G52080,226
AT1G35180,92
AT1G30070,200
AT1G35210,114
AT1G10410,1041
AT1G73740,537
AT1G53350,200
AT1G34110,478
AT1G17240,25
AT1G61730,749
AT1G29260,553
AT1G33890,4
AT1G08040,556
AT1G63522,1
AT1G08810,332
AT1G09210,3944
AT1G70080,1
AT1G10522,612
AT1G04570,15
AT1G01830,384
AT1G12340,1
AT1G67590,467
AT1G69080,120
AT1G31400,0
AT1G74385,0
AT1G73300,18
AT1G05760,0
AT1G30530,575
AT1G12480,75
AT1G76850,1955
AT1G73570,129
AT1G44130,19
AT1G67340,596
AT1G80315,0
AT1G43666,0
AT1G08630,34
AT1G66150,2542
AT1G04640,567
AT1G56500,3237
AT1G12615,0
AT1G77120,7281
AT1G50590,57
AT1G17147,84
AT1G44740,24
AT1G08005,0
AT1G24380,0
AT1G60787,6
AT1G26796,0
AT1G68500,30
AT1G15500,5063
AT1G77760,12946
AT1G24062,0
AT1G53510,1551
AT1G51410,0
AT1G50020,820
AT1G22370,436
AT1G53265,0
AT1G17270,149
AT1G74350,34
AT1G75230,326
AT1G29150,2459
AT1G17140,803
AT1G08380,52389
AT1G43560,1342
AT1G07700,679
AT1G33750,140
AT1G61270,4
AT1G14750,27
AT1G05900,270
AT1G44120,0
AT1G52990,2
AT1G37130,23262
AT1G48175,251
AT1G72140,224
AT1G66465,4
AT1G43260,0
AT1G14420,6
AT1G01710,981
AT1G44000,1144
AT1G73960,906
AT1G11360,734
AT1G04490,32
AT1G78476,13
AT1G15310,152
AT1G13300,918
AT1G55530,781
AT1G47350,0
AT1G74458,121
AT1G32120,109
AT1G17260,22
AT1G32660,0
AT1G31480,396
AT1G17500,963
AT1G50780,0
AT1G21150,77
AT1G78110,410
AT1G80080,293
AT1G23260,1004
AT1G09790,0
AT1G60270,114
AT1G25400,272
AT1G77980,0
AT1G43140,20
AT1G42470,1068
AT1G34170,0
AT1G56150,86
AT1G75520,60
AT1G53890,0
AT1G43722,0
AT1G73370,277
AT1G01230,763
AT1G70700,810
AT1G02380,145
AT1G48870,49
AT1G69280,48
AT1G36950,0
AT1G12430,676
AT1G56320,198
AT1G50880,0
AT1G36310,463
AT1G44830,46
AT1G01300,2212
AT1G48050,467
AT1G36925,0
AT1G30670,0
AT1G22180,303
AT1G17450,484
AT1G61630,1
AT1G28590,8
AT1G79670,667
AT1G68170,1
AT1G60080,153
AT1G51240,0
AT1G07130,0
AT1G42525,0
AT1G64355,858
AT1G04820,10073
AT1G71866,8
AT1G33050,1730
AT1G77810,222
AT1G16210,1310
AT1G34580,48
AT1G02050,166
AT1G66500,81
AT1G04030,167
AT1G32480,0
AT1G29370,381
AT1G18880,437
AT1G50740,328
AT1G02580,3
AT1G58220,193
AT1G07350,848
AT1G06950,4027
AT1G19200,38
AT1G52140,327
AT1G18550,147
AT1G77510,1298
AT1G52430,9
AT1G15950,540
AT1G67850,179
AT1G69620,3957
AT1G49110,0
AT1G57860,441
AT1G63160,152
AT1G71050,113
AT1G28510,494
AT1G48240,536
AT1G71140,98
AT1G66960,8
AT1G36370,1387
AT1G58242,0
AT1G63370,2
AT1G56110,2188
AT1G14510,1135
AT1G19010,126
AT1G54250,291
AT1G55170,177
AT1G70230,475
AT1G52830,272
AT1G45015,101
AT1G23160,5
AT1G67510,278
AT1G08230,292
AT1G67780,37
AT1G76830,0
AT1G04280,1221
AT1G55020,1211
AT1G48970,501
AT1G79420,111
AT1G70350,94
AT1G35375,0
AT1G28306,0
AT1G12450,275
AT1G57660,1234
