#,Program:featureCounts
Geneid,SRR17446281.bam
AT1G30814,0
AT1G78930,124
AT1G71695,2582
AT1G58983,11
AT1G12980,1
AT1G45223,0
AT1G56250,64
AT1G66852,0
AT1G69810,290
AT1G72450,1456
AT1G76280,315
AT1G65630,0
AT1G71390,0
AT1G56233,0
AT1G15210,1095
AT1G15250,330
AT1G79700,786
AT1G62895,0
AT1G73360,72
AT1G16360,10
AT1G10225,0
AT1G26670,2134
AT1G34855,0
AT1G52200,590
AT1G57800,0
AT1G69460,1264
AT1G04310,431
AT1G08080,3
AT1G75550,48
AT1G71890,2
AT1G05430,759
AT1G80870,577
AT1G75310,1242
AT1G02010,201
AT1G47900,515
AT1G14315,1
AT1G26760,57
AT1G05250,0
AT1G67260,5
AT1G24575,92
AT1G12790,173
AT1G04850,2076
AT1G31760,53
AT1G33250,956
AT1G74000,44
AT1G55580,26
AT1G53903,0
AT1G19715,1717
AT1G69430,37
AT1G53340,52
AT1G29890,624
AT1G80290,244
AT1G56540,140
AT1G48650,1080
AT1G22670,3
AT1G07030,380
AT1G69860,0
AT1G10120,745
AT1G43650,117
AT1G09960,164
AT1G51990,0
AT1G53625,17
AT1G63360,442
AT1G33330,395
AT1G74929,0
AT1G63430,697
AT1G80720,186
AT1G69770,543
AT1G08460,884
AT1G78710,0
AT1G08610,170
AT1G17540,3
AT1G27380,28
AT1G58643,0
AT1G48953,0
AT1G51440,38
AT1G18871,0
AT1G25210,0
AT1G21610,1142
AT1G79710,238
AT1G80840,743
AT1G71300,1
AT1G49490,174
AT1G23645,0
AT1G09795,1920
AT1G48690,81
AT1G49570,67
AT1G68470,75
AT1G75580,48
AT1G26400,0
AT1G72980,0
AT1G59970,165
AT1G11520,0
AT1G30640,435
AT1G26440,840
AT1G51320,0
AT1G22070,1165
AT1G26700,14
AT1G73603,0
AT1G55650,0
AT1G78180,314
AT1G55928,0
AT1G29880,2427
AT1G53645,536
AT1G06240,290
AT1G72330,488
AT1G20840,1773
AT1G45050,446
AT1G52500,245
AT1G10430,548
AT1G05670,173
AT1G64110,225
AT1G65220,1555
AT1G13635,34
AT1G54950,22
AT1G55730,380
AT1G07310,1358
AT1G77230,119
AT1G52400,3627
AT1G16430,74
AT1G27752,895
AT1G14880,9
AT1G11190,40
AT1G43100,0
AT1G26650,410
AT1G54420,0
AT1G34640,84
AT1G50310,6
AT1G49430,808
AT1G74240,112
AT1G01760,79
AT1G61160,0
AT1G47480,210
AT1G65820,1728
AT1G22900,28
AT1G76820,129
AT1G52080,233
AT1G35180,91
AT1G30070,301
AT1G35210,66
AT1G10410,1198
AT1G73740,518
AT1G53350,273
AT1G34110,465
AT1G17240,31
AT1G61730,810
AT1G29260,599
AT1G33890,1
AT1G08040,586
AT1G63522,1
AT1G08810,194
AT1G09210,3693
AT1G70080,2
AT1G10522,751
AT1G04570,26
AT1G01830,312
AT1G12340,4
AT1G67590,484
AT1G69080,75
AT1G31400,0
AT1G74385,0
AT1G73300,17
AT1G05760,0
AT1G30530,407
AT1G12480,76
AT1G76850,1958
AT1G73570,188
AT1G44130,11
AT1G67340,702
AT1G80315,0
AT1G43666,0
AT1G08630,38
AT1G66150,3659
AT1G04640,514
AT1G56500,2737
AT1G12615,0
AT1G77120,3280
AT1G50590,66
AT1G17147,139
AT1G44740,27
AT1G08005,0
AT1G24380,0
AT1G60787,11
AT1G26796,0
AT1G68500,36
AT1G15500,5265
AT1G77760,12791
AT1G24062,0
AT1G53510,1715
AT1G51410,1
AT1G50020,928
AT1G22370,472
AT1G53265,0
AT1G17270,171
AT1G74350,50
AT1G75230,321
AT1G29150,2079
AT1G17140,965
AT1G08380,51368
AT1G43560,1430
AT1G07700,804
AT1G33750,106
AT1G61270,11
AT1G14750,45
AT1G05900,336
AT1G44120,1
AT1G52990,2
AT1G37130,28671
AT1G48175,306
AT1G72140,189
AT1G66465,6
AT1G43260,0
AT1G14420,0
AT1G01710,1005
AT1G44000,879
AT1G73960,980
AT1G11360,685
AT1G04490,18
AT1G78476,4
AT1G15310,175
AT1G13300,692
AT1G55530,965
AT1G47350,0
AT1G74458,76
AT1G32120,138
AT1G17260,43
AT1G32660,0
AT1G31480,427
AT1G17500,1037
AT1G50780,2
AT1G21150,93
AT1G78110,490
AT1G80080,265
AT1G23260,874
AT1G09790,0
AT1G60270,94
AT1G25400,207
AT1G77980,0
AT1G43140,28
AT1G42470,1237
AT1G34170,0
AT1G56150,144
AT1G75520,58
AT1G53890,0
AT1G43722,0
AT1G73370,126
AT1G01230,739
AT1G70700,982
AT1G02380,403
AT1G48870,65
AT1G69280,100
AT1G36950,0
AT1G12430,726
AT1G56320,137
AT1G50880,0
AT1G36310,428
AT1G44830,151
AT1G01300,1801
AT1G48050,482
AT1G36925,0
AT1G30670,0
AT1G22180,321
AT1G17450,456
AT1G61630,0
AT1G28590,4
AT1G79670,842
AT1G68170,6
AT1G60080,177
AT1G51240,0
AT1G07130,0
AT1G42525,0
AT1G64355,1029
AT1G04820,8607
AT1G71866,5
AT1G33050,2343
AT1G77810,283
AT1G16210,1260
AT1G34580,36
AT1G02050,207
AT1G66500,121
AT1G04030,153
AT1G32480,0
AT1G29370,362
AT1G18880,295
AT1G50740,474
AT1G02580,1
AT1G58220,207
AT1G07350,1866
AT1G06950,3882
AT1G19200,17
AT1G52140,273
AT1G18550,167
AT1G77510,1293
AT1G52430,6
AT1G15950,314
AT1G67850,215
AT1G69620,3948
AT1G49110,0
AT1G57860,581
AT1G63160,120
AT1G71050,142
AT1G28510,575
AT1G48240,621
AT1G71140,74
AT1G66960,7
AT1G36370,1009
AT1G58242,0
AT1G63370,4
AT1G56110,2215
AT1G14510,1210
AT1G19010,142
AT1G54250,357
AT1G55170,106
AT1G70230,477
AT1G52830,201
AT1G45015,93
AT1G23160,2
AT1G67510,276
AT1G08230,153
AT1G67780,32
AT1G76830,0
AT1G04280,895
AT1G55020,701
AT1G48970,501
AT1G79420,113
AT1G70350,143
AT1G35375,0
AT1G28306,0
AT1G12450,313
AT1G57660,1272
AT1G19086,0
AT1G05870,470
AT1G07540,1
AT1G78820,1656
AT1G03790,21
AT1G02220,199
AT1G74420,22
AT1G68700,4
AT1G64820,5
AT1G56680,50
AT1G58848,10
AT1G23985,0
AT1G22140,237
AT1G75210,907
AT1G30330,1465
AT1G77200,104
AT1G30360,9048
AT1G75280,1797
AT1G18200,48
AT1G55680,1776
AT1G34000,2084
AT1G04410,15010
AT1G45243,0
AT1G21650,335
AT1G28520,1077
AT1G14048,0
AT1G05220,21
AT1G63245,12
AT1G66180,4274
AT1G07790,371
AT1G07720,500
AT1G16420,18
AT1G72740,627
AT1G05060,461
AT1G55960,721
AT1G32060,29695
AT1G77700,53
AT1G75510,661
AT1G54090,740
AT1G26520,164
AT1G15240,1222
AT1G07980,315
AT1G01740,150
AT1G62914,100
AT1G53090,231
AT1G08540,2408
AT1G12460,498
AT1G06250,50
AT1G52827,81
AT1G47690,0
AT1G49590,477
AT1G06280,0
AT1G78420,960
AT1G08465,301
AT1G32970,7
AT1G28815,0
AT1G01260,893
AT1G26815,0
AT1G16730,49
AT1G08700,830
AT1G66590,28
AT1G09550,0
AT1G16370,54
AT1G80730,30
AT1G11420,50
AT1G61210,600
AT1G57980,179
AT1G15140,1664
AT1G04810,1666
AT1G67070,47
AT1G53270,70
AT1G04550,425
AT1G44940,0
AT1G47810,0
AT1G27450,3196
AT1G33055,283
AT1G69400,51
AT1G51920,2
AT1G56000,244
AT1G42540,517
AT1G08100,0
AT1G29465,210
AT1G75960,270
AT1G63420,433
AT1G29470,4636
AT1G48310,401
AT1G32930,175
AT1G63880,1712
AT1G04630,547
AT1G27150,993
AT1G79110,205
AT1G68490,1054
AT1G06040,2835
AT1G18970,34
AT1G72430,2777
AT1G03040,963
AT1G28250,414
AT1G66630,0
AT1G10530,9
AT1G24090,55
AT1G09640,5339
AT1G14080,127
AT1G78760,0
AT1G44542,2
AT1G49350,200
AT1G47240,306
AT1G28430,9
AT1G12190,0
AT1G66610,0
AT1G16022,2
AT1G13370,3
AT1G21370,558
AT1G21590,1010
AT1G50390,11
AT1G60870,1335
AT1G69870,2099
AT1G18610,159
AT1G13890,0
AT1G24260,608
AT1G64140,2166
AT1G02290,288
AT1G26740,294
AT1G20460,238
AT1G11500,8
AT1G75040,66
AT1G07985,107
AT1G74035,0
AT1G15510,148
AT1G07040,1136
AT1G71170,323
AT1G63470,315
AT1G13640,1191
AT1G35516,855
AT1G22210,1
AT1G33230,882
AT1G18050,0
AT1G79340,2360
AT1G57680,4852
AT1G29140,0
AT1G55110,356
AT1G67775,0
AT1G57730,0
AT1G64550,1954
AT1G68710,661
AT1G79270,437
AT1G67310,1295
AT1G65610,224
AT1G53880,0
AT1G64380,113
AT1G27920,3
AT1G07220,290
AT1G14130,171
AT1G55040,147
AT1G35630,2
AT1G53860,26
AT1G71010,1945
AT1G56240,5
AT1G20630,1420
AT1G54217,189
AT1G44920,1413
AT1G63970,1775
AT1G26945,1597
AT1G67870,4457
AT1G62850,460
AT1G50520,161
AT1G31500,404
AT1G15820,64455
AT1G72690,66
AT1G29030,160
AT1G75160,15
AT1G26090,315
AT1G59660,190
AT1G52460,0
AT1G10720,687
AT1G67670,0
AT1G11410,248
