#,Program:featureCounts
Geneid,SRR17446266.bam
AT1G30814,0
AT1G78930,135
AT1G71695,6332
AT1G58983,17
AT1G12980,0
AT1G45223,0
AT1G56250,15
AT1G66852,0
AT1G69810,355
AT1G72450,1134
AT1G76280,398
AT1G65630,2
AT1G71390,1
AT1G56233,0
AT1G15210,1794
AT1G15250,174
AT1G79700,449
AT1G62895,0
AT1G73360,80
AT1G16360,12
AT1G10225,6
AT1G26670,985
AT1G34855,0
AT1G52200,780
AT1G57800,0
AT1G69460,1403
AT1G04310,159
AT1G08080,3
AT1G75550,29
AT1G71890,19
AT1G05430,798
AT1G80870,645
AT1G75310,900
AT1G02010,146
AT1G47900,932
AT1G14315,1
AT1G26760,124
AT1G05250,3
AT1G67260,48
AT1G24575,150
AT1G12790,93
AT1G04850,2884
AT1G31760,198
AT1G33250,649
AT1G74000,145
AT1G55580,36
AT1G53903,0
AT1G19715,1060
AT1G69430,36
AT1G53340,67
AT1G29890,860
AT1G80290,249
AT1G56540,66
AT1G48650,1281
AT1G22670,1
AT1G07030,366
AT1G69860,2
AT1G10120,439
AT1G43650,150
AT1G09960,306
AT1G51990,0
AT1G53625,15
AT1G63360,419
AT1G33330,315
AT1G74929,0
AT1G63430,888
AT1G80720,175
AT1G69770,499
AT1G08460,588
AT1G78710,0
AT1G08610,232
AT1G17540,5
AT1G27380,32
AT1G58643,0
AT1G48953,0
AT1G51440,47
AT1G18871,0
AT1G25210,0
AT1G21610,719
AT1G79710,214
AT1G80840,152
AT1G71300,0
AT1G49490,103
AT1G23645,0
AT1G09795,1362
AT1G48690,91
AT1G49570,176
AT1G68470,186
AT1G75580,58
AT1G26400,0
AT1G72980,0
AT1G59970,338
AT1G11520,0
AT1G30640,281
AT1G26440,730
AT1G51320,0
AT1G22070,1162
AT1G26700,21
AT1G73603,0
AT1G55650,0
AT1G78180,268
AT1G55928,0
AT1G29880,3725
AT1G53645,1096
AT1G06240,250
AT1G72330,758
AT1G20840,2356
AT1G45050,360
AT1G52500,316
AT1G10430,586
AT1G05670,187
AT1G64110,111
AT1G65220,1682
AT1G13635,41
AT1G54950,26
AT1G55730,452
AT1G07310,998
AT1G77230,144
AT1G52400,12017
AT1G16430,82
AT1G27752,685
AT1G14880,25
AT1G11190,191
AT1G43100,0
AT1G26650,511
AT1G54420,0
AT1G34640,101
AT1G50310,5
AT1G49430,1634
AT1G74240,180
AT1G01760,56
AT1G61160,0
AT1G47480,257
AT1G65820,1833
AT1G22900,55
AT1G76820,293
AT1G52080,228
AT1G35180,105
AT1G30070,481
AT1G35210,33
AT1G10410,1549
AT1G73740,677
AT1G53350,250
AT1G34110,450
AT1G17240,33
AT1G61730,1088
AT1G29260,507
AT1G33890,6
AT1G08040,676
AT1G63522,0
AT1G08810,183
AT1G09210,5939
AT1G70080,1
AT1G10522,580
AT1G04570,28
AT1G01830,532
AT1G12340,2
AT1G67590,501
AT1G69080,95
AT1G31400,0
AT1G74385,0
AT1G73300,6
AT1G05760,0
AT1G30530,1361
AT1G12480,44
AT1G76850,1412
AT1G73570,141
AT1G44130,33
AT1G67340,512
AT1G80315,0
AT1G43666,0
AT1G08630,12
AT1G66150,2920
AT1G04640,486
AT1G56500,2311
AT1G12615,0
AT1G77120,6204
AT1G50590,38
AT1G17147,32
AT1G44740,69
AT1G08005,0
AT1G24380,0
AT1G60787,2
AT1G26796,0
AT1G68500,20
AT1G15500,4104
AT1G77760,15478
AT1G24062,0
AT1G53510,1613
AT1G51410,0
AT1G50020,894
AT1G22370,688
AT1G53265,0
AT1G17270,135
AT1G74350,72
