#,Program:featureCounts
Geneid,SRR17446254.bam
AT1G30814,0
AT1G78930,66
AT1G71695,3757
AT1G58983,12
AT1G12980,2
AT1G45223,0
AT1G56250,26
AT1G66852,0
AT1G69810,288
AT1G72450,1566
AT1G76280,270
AT1G65630,0
AT1G71390,1
AT1G56233,0
AT1G15210,1110
AT1G15250,222
AT1G79700,1304
AT1G62895,0
AT1G73360,34
AT1G16360,8
AT1G10225,2
AT1G26670,1820
AT1G34855,0
AT1G52200,532
AT1G57800,0
AT1G69460,1261
AT1G04310,305
AT1G08080,2
AT1G75550,29
AT1G71890,11
AT1G05430,675
AT1G80870,363
AT1G75310,1185
AT1G02010,211
AT1G47900,519
AT1G14315,2
AT1G26760,36
AT1G05250,3
AT1G67260,20
AT1G24575,136
AT1G12790,180
AT1G04850,1966
AT1G31760,30
AT1G33250,689
AT1G74000,43
AT1G55580,34
AT1G53903,0
AT1G19715,1160
AT1G69430,22
AT1G53340,55
AT1G29890,770
AT1G80290,214
AT1G56540,79
AT1G48650,941
AT1G22670,0
AT1G07030,289
AT1G69860,0
AT1G10120,513
AT1G43650,123
AT1G09960,119
AT1G51990,0
AT1G53625,13
AT1G63360,564
AT1G33330,307
AT1G74929,0
AT1G63430,627
AT1G80720,97
AT1G69770,440
AT1G08460,553
AT1G78710,0
AT1G08610,112
AT1G17540,1
AT1G27380,41
AT1G58643,0
AT1G48953,0
AT1G51440,37
AT1G18871,0
AT1G25210,0
AT1G21610,984
AT1G79710,156
AT1G80840,470
AT1G71300,0
AT1G49490,97
AT1G23645,0
AT1G09795,1553
AT1G48690,66
AT1G49570,104
AT1G68470,100
AT1G75580,15
AT1G26400,3
AT1G72980,3
AT1G59970,206
AT1G11520,0
AT1G30640,370
AT1G26440,710
AT1G51320,0
AT1G22070,916
AT1G26700,4
AT1G73603,1
AT1G55650,0
AT1G78180,309
AT1G55928,0
AT1G29880,2170
AT1G53645,366
AT1G06240,265
AT1G72330,321
AT1G20840,1697
AT1G45050,366
AT1G52500,226
AT1G10430,509
AT1G05670,137
AT1G64110,111
AT1G65220,1600
AT1G13635,33
AT1G54950,10
AT1G55730,383
AT1G07310,1233
AT1G77230,103
AT1G52400,4582
AT1G16430,41
AT1G27752,749
AT1G14880,108
AT1G11190,110
AT1G43100,0
AT1G26650,421
AT1G54420,0
AT1G34640,53
AT1G50310,1
AT1G49430,981
AT1G74240,65
AT1G01760,80
AT1G61160,0
AT1G47480,254
AT1G65820,1635
AT1G22900,59
AT1G76820,83
AT1G52080,225
AT1G35180,83
AT1G30070,165
AT1G35210,72
AT1G10410,1009
AT1G73740,543
AT1G53350,222
AT1G34110,472
AT1G17240,26
AT1G61730,683
