#,Program:featureCounts
Geneid,SRR17446260.bam
AT1G30814,0
AT1G78930,124
AT1G71695,3571
AT1G58983,24
AT1G12980,0
AT1G45223,0
AT1G56250,28
AT1G66852,0
AT1G69810,505
AT1G72450,1623
AT1G76280,489
AT1G65630,4
AT1G71390,0
AT1G56233,0
AT1G15210,2265
AT1G15250,260
AT1G79700,138
AT1G62895,0
AT1G73360,45
AT1G16360,12
AT1G10225,9
AT1G26670,1326
AT1G34855,0
AT1G52200,599
AT1G57800,2
AT1G69460,1568
AT1G04310,168
AT1G08080,2
AT1G75550,31
AT1G71890,44
AT1G05430,959
AT1G80870,477
AT1G75310,761
AT1G02010,213
AT1G47900,822
AT1G14315,0
AT1G26760,109
AT1G05250,3
AT1G67260,18
AT1G24575,164
AT1G12790,116
AT1G04850,3427
AT1G31760,106
AT1G33250,643
AT1G74000,63
AT1G55580,21
AT1G53903,0
AT1G19715,862
AT1G69430,37
AT1G53340,129
AT1G29890,990
AT1G80290,234
AT1G56540,153
AT1G48650,1170
AT1G22670,0
AT1G07030,536
AT1G69860,4
AT1G10120,547
AT1G43650,150
AT1G09960,301
AT1G51990,0
AT1G53625,5
AT1G63360,317
AT1G33330,413
AT1G74929,0
AT1G63430,688
AT1G80720,225
AT1G69770,575
AT1G08460,800
AT1G78710,3
AT1G08610,184
AT1G17540,3
AT1G27380,44
AT1G58643,0
AT1G48953,1
AT1G51440,97
AT1G18871,0
AT1G25210,0
AT1G21610,817
AT1G79710,267
AT1G80840,262
AT1G71300,1
AT1G49490,131
AT1G23645,0
AT1G09795,1398
AT1G48690,104
AT1G49570,128
AT1G68470,117
AT1G75580,54
AT1G26400,0
AT1G72980,0
AT1G59970,384
AT1G11520,0
AT1G30640,560
AT1G26440,708
AT1G51320,0
AT1G22070,1491
AT1G26700,28
AT1G73603,0
AT1G55650,3
AT1G78180,282
AT1G55928,0
AT1G29880,3249
AT1G53645,1096
AT1G06240,274
AT1G72330,563
AT1G20840,3100
AT1G45050,477
AT1G52500,271
AT1G10430,626
AT1G05670,182
AT1G64110,598
AT1G65220,1725
AT1G13635,19
AT1G54950,14
AT1G55730,522
AT1G07310,988
AT1G77230,90
AT1G52400,30359
AT1G16430,104
AT1G27752,751
AT1G14880,195
AT1G11190,84
AT1G43100,0
AT1G26650,505
AT1G54420,0
AT1G34640,93
AT1G50310,11
AT1G49430,1629
AT1G74240,182
AT1G01760,56
AT1G61160,0
AT1G47480,278
AT1G65820,2758
AT1G22900,39
AT1G76820,187
AT1G52080,283
AT1G35180,54
AT1G30070,491
AT1G35210,27
AT1G10410,1753
AT1G73740,518
AT1G53350,228
AT1G34110,601
AT1G17240,32
AT1G61730,1017
AT1G29260,676
AT1G33890,5
AT1G08040,619
AT1G63522,0
AT1G08810,79
AT1G09210,7599
AT1G70080,14
AT1G10522,912
AT1G04570,36
AT1G01830,703
AT1G12340,2
AT1G67590,701
AT1G69080,62
AT1G31400,0
AT1G74385,0
AT1G73300,11
AT1G05760,0
AT1G30530,875
AT1G12480,15
AT1G76850,1869
AT1G73570,124
AT1G44130,56
AT1G67340,400
AT1G80315,0
AT1G43666,0
AT1G08630,32
AT1G66150,2050
AT1G04640,485
AT1G56500,1916
AT1G12615,0
AT1G77120,6089
AT1G50590,28
AT1G17147,56
AT1G44740,58
AT1G08005,0
AT1G24380,0
AT1G60787,12
AT1G26796,0
AT1G68500,38
AT1G15500,4605
AT1G77760,19799
AT1G24062,0
AT1G53510,1341
AT1G51410,0
AT1G50020,817
AT1G22370,291
AT1G53265,0
AT1G17270,174
AT1G74350,75
AT1G75230,303
AT1G29150,2997
AT1G17140,1063
AT1G08380,33924
AT1G43560,1467
AT1G07700,1222
AT1G33750,462
AT1G61270,11
AT1G14750,63
AT1G05900,328
AT1G44120,4
AT1G52990,16
AT1G37130,34949
AT1G48175,282
AT1G72140,203
AT1G66465,36
AT1G43260,0
AT1G14420,8
AT1G01710,971
AT1G44000,1250
AT1G73960,900
AT1G11360,615
AT1G04490,55
AT1G78476,2
AT1G15310,460
AT1G13300,458
AT1G55530,844
AT1G47350,0
AT1G74458,111
AT1G32120,92
AT1G17260,42
AT1G32660,0
AT1G31480,352
AT1G17500,1187
AT1G50780,1
AT1G21150,88
AT1G78110,258
AT1G80080,91
AT1G23260,1063
AT1G09790,0
AT1G60270,256
AT1G25400,176
AT1G77980,0
AT1G43140,31
AT1G42470,1111
AT1G34170,0
AT1G56150,42
AT1G75520,66
AT1G53890,0
AT1G43722,0
AT1G73370,506
AT1G01230,864
AT1G70700,891
AT1G02380,210
AT1G48870,37
AT1G69280,73
AT1G36950,1
AT1G12430,456
AT1G56320,194
AT1G50880,0
AT1G36310,589
AT1G44830,50
AT1G01300,1976
AT1G48050,544
AT1G36925,1
AT1G30670,0
AT1G22180,552
AT1G17450,598
AT1G61630,1
AT1G28590,27
AT1G79670,462
AT1G68170,3
AT1G60080,218
AT1G51240,0
AT1G07130,0
AT1G42525,0
AT1G64355,630
AT1G04820,10359
AT1G71866,9
AT1G33050,1159
AT1G77810,367
AT1G16210,1652
AT1G34580,15
AT1G02050,207
AT1G66500,140
AT1G04030,181
AT1G32480,0
AT1G29370,375
AT1G18880,250
AT1G50740,501
AT1G02580,4
AT1G58220,165
AT1G07350,1653
AT1G06950,4609
AT1G19200,31
AT1G52140,329
AT1G18550,161
AT1G77510,2734
AT1G52430,13
AT1G15950,468
AT1G67850,269
AT1G69620,5822
AT1G49110,1
AT1G57860,774
AT1G63160,262
AT1G71050,61
AT1G28510,809
AT1G48240,393
AT1G71140,180
AT1G66960,35
AT1G36370,1780
AT1G58242,0
AT1G63370,5
AT1G56110,4537
AT1G14510,1040
AT1G19010,128
AT1G54250,433
AT1G55170,255
AT1G70230,525
AT1G52830,35
AT1G45015,100
AT1G23160,67
AT1G67510,309
AT1G08230,280
AT1G67780,44
AT1G76830,0
AT1G04280,1040
AT1G55020,1402
AT1G48970,557
AT1G79420,149
AT1G70350,141
AT1G35375,0
AT1G28306,0
AT1G12450,238
AT1G57660,2013
AT1G19086,0
AT1G05870,734
AT1G07540,0
AT1G78820,1810
AT1G03790,23
AT1G02220,727
AT1G74420,24
AT1G68700,2
AT1G64820,1
AT1G56680,186
AT1G58848,12
AT1G23985,0
AT1G22140,302
AT1G75210,1067
AT1G30330,2219
AT1G77200,87
AT1G30360,5540
AT1G75280,4846
AT1G18200,88
AT1G55680,1822
AT1G34000,1287
AT1G04410,34168
AT1G45243,0
AT1G21650,492
AT1G28520,934
AT1G14048,0
AT1G05220,30
AT1G63245,33
AT1G66180,4811
AT1G07790,667
AT1G07720,1081
AT1G16420,19
AT1G72740,525
AT1G05060,508
AT1G55960,549
AT1G32060,19896
AT1G77700,103
AT1G75510,823
AT1G54090,634
AT1G26520,208
AT1G15240,968
AT1G07980,322
AT1G01740,163
AT1G62914,83
AT1G53090,281
AT1G08540,2306
AT1G12460,299
AT1G06250,29
AT1G52827,106
AT1G47690,1
AT1G49590,440
AT1G06280,0
AT1G78420,881
AT1G08465,133
AT1G32970,12
AT1G28815,1
AT1G01260,547
AT1G26815,0
AT1G16730,133
AT1G08700,808
AT1G66590,56
AT1G09550,0
AT1G16370,155
AT1G80730,12
AT1G11420,100
AT1G61210,699
AT1G57980,41
AT1G15140,1763
AT1G04810,1999
AT1G67070,66
AT1G53270,115
AT1G04550,262
AT1G44940,0
AT1G47810,0
AT1G27450,4815
AT1G33055,191
AT1G69400,86
AT1G51920,3
AT1G56000,248
AT1G42540,428
AT1G08100,0
AT1G29465,103
AT1G75960,213
AT1G63420,283
AT1G29470,4847
AT1G48310,356
AT1G32930,221
AT1G63880,1717
AT1G04630,670
AT1G27150,967
AT1G79110,1115
AT1G68490,1175
AT1G06040,2938
AT1G18970,177
AT1G72430,1547
AT1G03040,931
AT1G28250,433
AT1G66630,1
AT1G10530,48
AT1G24090,106
AT1G09640,6994
AT1G14080,284
AT1G78760,17
AT1G44542,2
AT1G49350,226
AT1G47240,370
AT1G28430,4
AT1G12190,0
AT1G66610,1
AT1G16022,6
AT1G13370,11
AT1G21370,652
AT1G21590,980
AT1G50390,23
AT1G60870,1289
AT1G69870,5034
AT1G18610,196
AT1G13890,0
AT1G24260,1937
AT1G64140,2256
AT1G02290,247
AT1G26740,468
AT1G20460,254
AT1G11500,14
AT1G75040,821
AT1G07985,137
AT1G74035,0
AT1G15510,241
AT1G07040,745
AT1G71170,443
AT1G63470,470
AT1G13640,922
AT1G35516,603
AT1G22210,5
AT1G33230,1072
AT1G18050,0
AT1G79340,3473
AT1G57680,2965
AT1G29140,0
AT1G55110,321
AT1G67775,0
AT1G57730,0
AT1G64550,2232
AT1G68710,643
AT1G79270,831
AT1G67310,1045
AT1G65610,475
AT1G53880,3
AT1G64380,286
AT1G27920,5
AT1G07220,295
AT1G14130,297
AT1G55040,230
AT1G35630,0
AT1G53860,21
AT1G71010,2137
AT1G56240,5
AT1G20630,1403
AT1G54217,52
AT1G44920,1133
AT1G63970,2230
AT1G26945,387
AT1G67870,1705
AT1G62850,435
AT1G50520,134
AT1G31500,533
AT1G15820,51826
AT1G72690,120
AT1G29030,268
AT1G75160,24
AT1G26090,445
AT1G59660,290
AT1G52460,0
AT1G10720,602
AT1G67670,1
AT1G11410,327
