#,Program:featureCounts
Geneid,SRR17446267.bam
AT1G30814,1
AT1G78930,126
AT1G71695,5824
AT1G58983,5
AT1G12980,2
AT1G45223,0
AT1G56250,5
AT1G66852,0
AT1G69810,370
AT1G72450,1166
AT1G76280,378
AT1G65630,1
AT1G71390,1
AT1G56233,0
AT1G15210,1743
AT1G15250,203
AT1G79700,591
AT1G62895,0
AT1G73360,59
AT1G16360,15
AT1G10225,2
AT1G26670,1203
AT1G34855,0
AT1G52200,550
AT1G57800,0
AT1G69460,1234
AT1G04310,191
AT1G08080,1
AT1G75550,29
AT1G71890,21
AT1G05430,700
AT1G80870,614
AT1G75310,856
AT1G02010,159
AT1G47900,842
AT1G14315,2
AT1G26760,109
AT1G05250,0
AT1G67260,11
AT1G24575,87
AT1G12790,99
AT1G04850,2497
AT1G31760,195
AT1G33250,739
AT1G74000,121
AT1G55580,63
AT1G53903,0
AT1G19715,1158
AT1G69430,22
AT1G53340,67
AT1G29890,787
AT1G80290,245
AT1G56540,58
AT1G48650,1186
AT1G22670,1
AT1G07030,365
AT1G69860,0
AT1G10120,455
AT1G43650,143
AT1G09960,283
AT1G51990,0
AT1G53625,19
AT1G63360,360
AT1G33330,265
AT1G74929,0
AT1G63430,804
AT1G80720,156
AT1G69770,437
AT1G08460,651
AT1G78710,4
AT1G08610,210
AT1G17540,6
AT1G27380,34
AT1G58643,0
AT1G48953,0
AT1G51440,44
AT1G18871,0
AT1G25210,0
AT1G21610,847
AT1G79710,193
AT1G80840,87
AT1G71300,0
AT1G49490,128
AT1G23645,0
AT1G09795,1328
AT1G48690,109
AT1G49570,213
AT1G68470,138
AT1G75580,43
AT1G26400,0
AT1G72980,1
AT1G59970,309
AT1G11520,1
AT1G30640,293
AT1G26440,744
AT1G51320,0
AT1G22070,1072
AT1G26700,10
AT1G73603,0
AT1G55650,0
AT1G78180,271
AT1G55928,0
AT1G29880,3331
AT1G53645,933
AT1G06240,251
AT1G72330,689
AT1G20840,2471
AT1G45050,366
AT1G52500,311
AT1G10430,565
AT1G05670,189
AT1G64110,170
AT1G65220,1693
AT1G13635,53
AT1G54950,19
AT1G55730,414
AT1G07310,1076
AT1G77230,139
AT1G52400,9165
AT1G16430,57
AT1G27752,684
AT1G14880,0
AT1G11190,146
AT1G43100,0
AT1G26650,448
AT1G54420,0
AT1G34640,93
AT1G50310,5
AT1G49430,1210
AT1G74240,147
AT1G01760,44
AT1G61160,0
AT1G47480,302
AT1G65820,1718
AT1G22900,60
AT1G76820,320
AT1G52080,227
AT1G35180,86
AT1G30070,372
AT1G35210,32
AT1G10410,1344
AT1G73740,599
AT1G53350,228
AT1G34110,449
AT1G17240,39
AT1G61730,998
AT1G29260,459
AT1G33890,5
AT1G08040,688
AT1G63522,1
AT1G08810,161
AT1G09210,5267
AT1G70080,1
AT1G10522,539
AT1G04570,23
AT1G01830,485
AT1G12340,5
AT1G67590,570
AT1G69080,84
AT1G31400,0
AT1G74385,0
AT1G73300,5
AT1G05760,0
AT1G30530,1006
AT1G12480,26
AT1G76850,1388
AT1G73570,141
AT1G44130,18
AT1G67340,586
AT1G80315,0
AT1G43666,0
AT1G08630,27
AT1G66150,2997
AT1G04640,504
AT1G56500,2387
AT1G12615,0
AT1G77120,4999
AT1G50590,40
AT1G17147,35
AT1G44740,51
AT1G08005,0
AT1G24380,0
AT1G60787,3
AT1G26796,0
AT1G68500,23
AT1G15500,3965
AT1G77760,15048
AT1G24062,0
AT1G53510,1841
AT1G51410,0
AT1G50020,919
AT1G22370,743
AT1G53265,0
AT1G17270,143
AT1G74350,61
AT1G75230,263
AT1G29150,2396
AT1G17140,993
AT1G08380,37293
AT1G43560,1366
AT1G07700,841
AT1G33750,212
AT1G61270,8
AT1G14750,55
AT1G05900,286
AT1G44120,1
AT1G52990,14
AT1G37130,25888
AT1G48175,140
AT1G72140,138
AT1G66465,2
AT1G43260,0
AT1G14420,2
AT1G01710,890
AT1G44000,1667
AT1G73960,1065
AT1G11360,706
AT1G04490,31
AT1G78476,6
AT1G15310,468
AT1G13300,816
AT1G55530,897
AT1G47350,0
AT1G74458,173
AT1G32120,222
AT1G17260,33
AT1G32660,0
AT1G31480,352
AT1G17500,820
AT1G50780,2
AT1G21150,96
AT1G78110,508
AT1G80080,312
AT1G23260,889
AT1G09790,2
AT1G60270,239
AT1G25400,155
AT1G77980,0
AT1G43140,15
AT1G42470,893
AT1G34170,0
AT1G56150,72
AT1G75520,92
AT1G53890,0
AT1G43722,0
AT1G73370,255
AT1G01230,643
AT1G70700,1062
AT1G02380,229
AT1G48870,35
AT1G69280,31
AT1G36950,0
AT1G12430,663
AT1G56320,193
AT1G50880,0
AT1G36310,451
AT1G44830,41
AT1G01300,2162
AT1G48050,620
AT1G36925,0
AT1G30670,0
AT1G22180,307
AT1G17450,804
AT1G61630,0
AT1G28590,12
AT1G79670,444
AT1G68170,3
AT1G60080,130
AT1G51240,0
AT1G07130,0
AT1G42525,0
AT1G64355,864
AT1G04820,7910
AT1G71866,9
AT1G33050,1623
AT1G77810,250
AT1G16210,1290
AT1G34580,43
AT1G02050,198
AT1G66500,85
AT1G04030,176
AT1G32480,0
AT1G29370,302
AT1G18880,486
AT1G50740,278
AT1G02580,4
AT1G58220,191
AT1G07350,1321
AT1G06950,5951
AT1G19200,26
AT1G52140,322
AT1G18550,124
AT1G77510,1919
AT1G52430,14
AT1G15950,538
AT1G67850,242
AT1G69620,4422
AT1G49110,1
AT1G57860,472
AT1G63160,264
AT1G71050,96
AT1G28510,615
AT1G48240,405
AT1G71140,181
AT1G66960,5
AT1G36370,1705
AT1G58242,0
AT1G63370,9
AT1G56110,4009
AT1G14510,1104
AT1G19010,179
AT1G54250,398
AT1G55170,214
AT1G70230,446
AT1G52830,140
AT1G45015,15
AT1G23160,5
AT1G67510,312
AT1G08230,474
AT1G67780,53
AT1G76830,0
AT1G04280,1339
AT1G55020,1252
AT1G48970,496
AT1G79420,126
AT1G70350,117
AT1G35375,0
AT1G28306,0
AT1G12450,293
AT1G57660,1467
AT1G19086,0
AT1G05870,714
AT1G07540,1
AT1G78820,1397
AT1G03790,22
AT1G02220,385
AT1G74420,21
AT1G68700,6
AT1G64820,0
AT1G56680,134
