#,Program:featureCounts
Geneid,SRR17446261.bam
AT1G30814,0
AT1G78930,116
AT1G71695,4039
AT1G58983,3
AT1G12980,3
AT1G45223,0
AT1G56250,12
AT1G66852,0
AT1G69810,371
AT1G72450,1646
AT1G76280,501
AT1G65630,9
AT1G71390,5
AT1G56233,0
AT1G15210,1614
AT1G15250,216
AT1G79700,186
AT1G62895,0
AT1G73360,64
AT1G16360,11
AT1G10225,10
AT1G26670,1422
AT1G34855,0
AT1G52200,520
AT1G57800,0
AT1G69460,1661
AT1G04310,171
AT1G08080,0
AT1G75550,19
AT1G71890,43
AT1G05430,1000
AT1G80870,571
AT1G75310,892
AT1G02010,238
AT1G47900,905
AT1G14315,0
AT1G26760,90
AT1G05250,2
AT1G67260,24
AT1G24575,143
AT1G12790,99
AT1G04850,3249
AT1G31760,101
AT1G33250,648
AT1G74000,57
AT1G55580,15
AT1G53903,0
AT1G19715,1138
AT1G69430,53
AT1G53340,105
AT1G29890,905
AT1G80290,225
AT1G56540,134
AT1G48650,1259
AT1G22670,0
AT1G07030,423
AT1G69860,2
AT1G10120,444
AT1G43650,101
AT1G09960,286
AT1G51990,0
AT1G53625,6
AT1G63360,349
AT1G33330,397
AT1G74929,0
AT1G63430,687
AT1G80720,177
AT1G69770,538
AT1G08460,877
AT1G78710,1
AT1G08610,189
AT1G17540,3
AT1G27380,34
AT1G58643,0
AT1G48953,2
AT1G51440,150
AT1G18871,0
AT1G25210,0
AT1G21610,872
AT1G79710,238
AT1G80840,130
AT1G71300,0
AT1G49490,139
AT1G23645,0
AT1G09795,1482
AT1G48690,86
AT1G49570,87
AT1G68470,106
AT1G75580,56
AT1G26400,0
AT1G72980,0
AT1G59970,339
AT1G11520,0
AT1G30640,587
AT1G26440,677
AT1G51320,0
AT1G22070,1344
AT1G26700,10
AT1G73603,0
AT1G55650,2
AT1G78180,338
AT1G55928,0
AT1G29880,3177
AT1G53645,972
AT1G06240,275
AT1G72330,527
AT1G20840,2845
AT1G45050,414
AT1G52500,315
AT1G10430,533
AT1G05670,179
AT1G64110,540
AT1G65220,1524
AT1G13635,19
AT1G54950,18
AT1G55730,444
AT1G07310,1093
AT1G77230,92
AT1G52400,27551
AT1G16430,90
AT1G27752,795
AT1G14880,5
AT1G11190,83
AT1G43100,0
AT1G26650,549
AT1G54420,0
AT1G34640,86
AT1G50310,2
AT1G49430,1857
AT1G74240,154
AT1G01760,63
AT1G61160,0
AT1G47480,215
AT1G65820,2330
AT1G22900,29
AT1G76820,248
AT1G52080,279
AT1G35180,92
AT1G30070,374
AT1G35210,18
AT1G10410,1675
AT1G73740,569
AT1G53350,217
AT1G34110,521
AT1G17240,20
AT1G61730,1024
AT1G29260,596
AT1G33890,14
AT1G08040,690
AT1G63522,0
AT1G08810,67
AT1G09210,6134
AT1G70080,10
AT1G10522,755
AT1G04570,115
AT1G01830,801
AT1G12340,3
AT1G67590,672
AT1G69080,57
AT1G31400,0
AT1G74385,0
AT1G73300,19
AT1G05760,0
AT1G30530,1019
AT1G12480,10
AT1G76850,1820
AT1G73570,161
AT1G44130,44
AT1G67340,415
AT1G80315,0
AT1G43666,0
AT1G08630,33
AT1G66150,1987
AT1G04640,440
AT1G56500,2458
AT1G12615,0
AT1G77120,5276
AT1G50590,35
AT1G17147,32
AT1G44740,37
AT1G08005,0
AT1G24380,0
AT1G60787,9
AT1G26796,0
AT1G68500,50
AT1G15500,4713
AT1G77760,24203
AT1G24062,0
AT1G53510,1398
AT1G51410,0
AT1G50020,856
AT1G22370,355
AT1G53265,0
AT1G17270,171
AT1G74350,77
AT1G75230,317
AT1G29150,2749
AT1G17140,1451
AT1G08380,34407
AT1G43560,1313
AT1G07700,1064
AT1G33750,185
AT1G61270,7
AT1G14750,59
AT1G05900,335
AT1G44120,4
AT1G52990,9
AT1G37130,34878
AT1G48175,277
AT1G72140,234
AT1G66465,14
AT1G43260,1
AT1G14420,13
AT1G01710,1064
AT1G44000,1521
AT1G73960,1012
AT1G11360,569
AT1G04490,38
AT1G78476,8
AT1G15310,489
AT1G13300,289
AT1G55530,767
AT1G47350,0
AT1G74458,101
AT1G32120,158
AT1G17260,57
AT1G32660,0
AT1G31480,340
AT1G17500,1093
AT1G50780,0
AT1G21150,83
AT1G78110,292
AT1G80080,174
AT1G23260,940
AT1G09790,1
AT1G60270,386
AT1G25400,135
AT1G77980,0
AT1G43140,10
AT1G42470,1290
AT1G34170,0
AT1G56150,28
AT1G75520,43
AT1G53890,0
AT1G43722,0
AT1G73370,478
AT1G01230,744
AT1G70700,1354
AT1G02380,137
AT1G48870,23
AT1G69280,75
AT1G36950,0
AT1G12430,563
AT1G56320,162
AT1G50880,0
AT1G36310,538
AT1G44830,44
AT1G01300,2066
AT1G48050,546
AT1G36925,0
AT1G30670,0
AT1G22180,440
AT1G17450,726
AT1G61630,0
AT1G28590,18
AT1G79670,427
AT1G68170,6
AT1G60080,217
AT1G51240,0
AT1G07130,0
AT1G42525,0
AT1G64355,742
AT1G04820,10067
AT1G71866,1
AT1G33050,1178
AT1G77810,323
AT1G16210,1535
AT1G34580,28
AT1G02050,191
AT1G66500,166
AT1G04030,155
AT1G32480,0
AT1G29370,385
AT1G18880,231
AT1G50740,371
AT1G02580,1
AT1G58220,183
AT1G07350,1372
AT1G06950,4994
AT1G19200,39
AT1G52140,223
AT1G18550,187
AT1G77510,2157
AT1G52430,13
AT1G15950,478
AT1G67850,276
AT1G69620,4487
AT1G49110,0
AT1G57860,584
AT1G63160,236
AT1G71050,102
AT1G28510,650
AT1G48240,414
AT1G71140,183
AT1G66960,12
AT1G36370,1502
AT1G58242,0
AT1G63370,3
AT1G56110,3711
AT1G14510,850
AT1G19010,131
AT1G54250,329
AT1G55170,230
AT1G70230,506
AT1G52830,46
AT1G45015,50
AT1G23160,36
AT1G67510,295
AT1G08230,304
AT1G67780,59
AT1G76830,0
AT1G04280,1005
AT1G55020,1352
AT1G48970,492
AT1G79420,117
AT1G70350,102
AT1G35375,0
AT1G28306,0
AT1G12450,185
AT1G57660,1591
AT1G19086,0
AT1G05870,866
AT1G07540,0
AT1G78820,1897
AT1G03790,22
AT1G02220,625
AT1G74420,24
AT1G68700,2
AT1G64820,0
AT1G56680,71
AT1G58848,17
AT1G23985,0
AT1G22140,245
AT1G75210,1105
AT1G30330,2574
AT1G77200,98
AT1G30360,8319
AT1G75280,3415
AT1G18200,81
AT1G55680,1959
AT1G34000,1229
AT1G04410,31976
AT1G45243,0
AT1G21650,495
AT1G28520,927
AT1G14048,0
AT1G05220,14
AT1G63245,25
AT1G66180,4843
AT1G07790,535
AT1G07720,1176
AT1G16420,11
AT1G72740,599
AT1G05060,530
AT1G55960,725
AT1G32060,26251
AT1G77700,87
AT1G75510,706
AT1G54090,585
AT1G26520,169
AT1G15240,1134
AT1G07980,300
AT1G01740,150
AT1G62914,76
AT1G53090,465
AT1G08540,2491
AT1G12460,327
AT1G06250,39
AT1G52827,132
AT1G47690,0
AT1G49590,426
AT1G06280,0
AT1G78420,785
AT1G08465,169
AT1G32970,4
AT1G28815,0
AT1G01260,608
AT1G26815,0
AT1G16730,113
AT1G08700,834
AT1G66590,54
AT1G09550,0
AT1G16370,147
AT1G80730,18
AT1G11420,98
AT1G61210,824
AT1G57980,44
AT1G15140,1753
AT1G04810,1868
AT1G67070,54
AT1G53270,96
AT1G04550,300
AT1G44940,0
AT1G47810,0
AT1G27450,3861
AT1G33055,120
AT1G69400,62
AT1G51920,5
AT1G56000,206
AT1G42540,494
AT1G08100,0
AT1G29465,135
AT1G75960,202
AT1G63420,297
AT1G29470,4947
AT1G48310,354
AT1G32930,190
AT1G63880,1655
AT1G04630,491
AT1G27150,1089
AT1G79110,1033
AT1G68490,1362
AT1G06040,4165
AT1G18970,95
AT1G72430,833
AT1G03040,892
AT1G28250,379
AT1G66630,1
AT1G10530,13
AT1G24090,106
AT1G09640,6301
AT1G14080,189
AT1G78760,20
AT1G44542,0
AT1G49350,225
AT1G47240,341
AT1G28430,2
AT1G12190,0
AT1G66610,0
AT1G16022,4
AT1G13370,6
AT1G21370,545
AT1G21590,1990
AT1G50390,13
AT1G60870,1317
AT1G69870,4659
AT1G18610,217
AT1G13890,0
AT1G24260,2152
AT1G64140,2478
AT1G02290,312
AT1G26740,392
AT1G20460,292
AT1G11500,7
AT1G75040,453
AT1G07985,157
AT1G74035,0
AT1G15510,261
AT1G07040,810
AT1G71170,401
AT1G63470,433
AT1G13640,928
AT1G35516,561
AT1G22210,5
AT1G33230,1074
AT1G18050,0
AT1G79340,3365
AT1G57680,2243
AT1G29140,2
AT1G55110,394
AT1G67775,0
AT1G57730,0
AT1G64550,2282
AT1G68710,621
AT1G79270,1325
AT1G67310,1199
AT1G65610,422
AT1G53880,1
AT1G64380,402
AT1G27920,6
AT1G07220,313
AT1G14130,253
AT1G55040,222
AT1G35630,2
AT1G53860,30
AT1G71010,2184
AT1G56240,2
AT1G20630,1404
AT1G54217,49
AT1G44920,1396
AT1G63970,2235
AT1G26945,482
AT1G67870,2775
AT1G62850,466
AT1G50520,111
AT1G31500,574
AT1G15820,54969
AT1G72690,77
AT1G29030,267
AT1G75160,21
AT1G26090,408
AT1G59660,295
AT1G52460,0
AT1G10720,602
AT1G67670,0
AT1G11410,379
AT1G19025,72
AT1G80050,138
AT1G50320,2925
AT1G77330,1111
